Название,"Цена, ₽","Вес, г",Рейтинг,Кол-во отзывов,Ссылка,"Цена за 100 г, ₽"
Пломбир из козьего молока с шоколадным топпингом,80.0,70.0,4.9,51.0,https://vkusvill.ru/goods/plombir-iz-kozego-moloka-s-shokoladnym-toppingom-89060.html,114.29
"Мороженое ""Сливочное""",137.0,80.0,4.7,32.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-91459.html,171.25
"Сорбет ""Киви""",157.0,80.0,4.8,74.0,https://vkusvill.ru/goods/sorbet-kivi-91457.html,196.25
Эскимо пломбир с маком и кунжутом в молочном шоколаде,74.0,80.0,4.8,1706.0,https://vkusvill.ru/goods/eskimo-plombir-s-makom-i-kunzhutom-v-molochnom-shokolade-106618.html,92.5
Лёд из пюре Дыни,20.0,50.0,4.8,42.0,https://vkusvill.ru/goods/lyed-iz-pyure-dyni-90663.html,40.0
"Сорбет ""Облепиха""",150.0,80.0,4.8,165.0,https://vkusvill.ru/goods/sorbet-oblepikha-112472.html,187.5
"Мороженое ""Фисташковое"", 85&nbsp;г",160.0,85.0,4.5,255.0,https://vkusvill.ru/goods/morozhenoe-fistashkovoe-85-g-85074.html,188.24
Мороженое пломбир в темном шоколаде,307.0,120.0,4.6,23.0,https://vkusvill.ru/goods/morozhenoe-plombir-v-temnom-shokolade-58336.html,255.83
"Мороженое эскимо ""Дубайская фантазия"" фисташковое с тестом катаифи в молочном шоколаде",119.0,65.0,4.4,1423.0,https://vkusvill.ru/goods/morozhenoe-eskimo-dubayskaya-fantaziya-fistashkovoe-s-testom-kataifi-v-molochnom-shokolade-108924.html,183.08
"Сорбет ""Манго-Маракуйя""",150.0,80.0,4.8,153.0,https://vkusvill.ru/goods/sorbet-mango-marakuyya-79127.html,187.5
Эскимо пломбир с ванилью в банановой желейной оболочке,22.0,80.0,4.7,40.0,https://vkusvill.ru/goods/eskimo-plombir-s-vanilyu-v-bananovoy-zheleynoy-obolochke-89772.html,27.5
"Десерт фруктово-ягодный ""Малина""",88.0,92.0,4.7,195.0,https://vkusvill.ru/goods/desert-fruktovo-yagodnyy-malina-89054.html,95.65
"Сорбет ""Юдзу""",140.0,80.0,4.7,634.0,https://vkusvill.ru/goods/sorbet-yudzu-110708.html,175.0
Эскимо пломбир голубика-ежевика в молочном шоколаде,88.0,80.0,4.7,50.0,https://vkusvill.ru/goods/eskimo-plombir-golubika-ezhevika-v-molochnom-shokolade-88430.html,110.0
"Пломбир ""Банан с клубникой"" в глазир. темн. шок. ваф. рожке",69.0,100.0,4.6,37.0,https://vkusvill.ru/goods/plombir-banan-s-klubnikoy-v-glazir-temn-shok-vaf-rozhke-88640.html,69.0
Эскимо пломбир грейпфрут в темном шоколаде,88.0,80.0,4.6,401.0,https://vkusvill.ru/goods/eskimo-plombir-greypfrut-v-temnom-shokolade-88434.html,110.0
